,home,away,date,match_type,venue,time_of_match,toss,winner,man_of_match,outcome
666,Mumbai Indians,Sunrisers Hyderabad,"24th April, 2018",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Sunrisers Hyderabad,Rashid Khan,0
667,Royal Challengers Bangalore,Chennai Super Kings,"25th April, 2018",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Chennai Super Kings,Chennai Super Kings,M S Dhoni,0
668,Sunrisers Hyderabad,Kings XI Punjab,"26th April, 2018",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Kings XI Punjab,Sunrisers Hyderabad,Ankit Rajpoot,1
669,Delhi Daredevils,Kolkata Knight Riders,"27th April, 2018",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Kolkata Knight Riders,Delhi Daredevils,Shreyas Iyer,1
670,Chennai Super Kings,Mumbai Indians,"28th April, 2018",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Mumbai Indians,Mumbai Indians,Rohit Sharma,0
671,Rajasthan Royals,Sunrisers Hyderabad,"29th April, 2018",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Kane Williamson,0
672,Royal Challengers Bangalore,Kolkata Knight Riders,"29th April, 2018",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Chris Lynn,0
673,Chennai Super Kings,Delhi Daredevils,"30th April, 2018",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Delhi Daredevils,Chennai Super Kings,Shane Watson,1
674,Royal Challengers Bangalore,Mumbai Indians,"1st May, 2018",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Mumbai Indians,Royal Challengers Bangalore,Tim Southee,1
675,Delhi Daredevils,Rajasthan Royals,"2nd May, 2018",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Rajasthan Royals,Delhi Daredevils,Rishabh Pant,1
676,Kolkata Knight Riders,Chennai Super Kings,"3rd May, 2018",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Sunil Narine,1
677,Kings XI Punjab,Mumbai Indians,"4th May, 2018",league,"Holkar Cricket Stadium, Indore",Day/Night Match,Mumbai Indians,Mumbai Indians,Suryakumar Yadav,0
678,Chennai Super Kings,Royal Challengers Bangalore,"5th May, 2018",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ravindra Jadeja,1
679,Sunrisers Hyderabad,Delhi Daredevils,"5th May, 2018",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Delhi Daredevils,Sunrisers Hyderabad,Rashid Khan,1
680,Mumbai Indians,Kolkata Knight Riders,"6th May, 2018",league,"Wankhede Stadium, Mumbai",Day/Night Match,Kolkata Knight Riders,Mumbai Indians,Hardik Pandya,1
681,Kings XI Punjab,Rajasthan Royals,"6th May, 2018",league,"Holkar Cricket Stadium, Indore",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Mujeeb Ur Rahman,1
682,Sunrisers Hyderabad,Royal Challengers Bangalore,"7th May, 2018",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Royal Challengers Bangalore,Sunrisers Hyderabad,Kane Williamson,1
683,Rajasthan Royals,Kings XI Punjab,"8th May, 2018",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Jos Buttler,1
684,Kolkata Knight Riders,Mumbai Indians,"9th May, 2018",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Mumbai Indians,Ishan Kishan,0
685,Delhi Daredevils,Sunrisers Hyderabad,"10th May, 2018",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Sunrisers Hyderabad,Shikhar Dhawan,0
686,Rajasthan Royals,Chennai Super Kings,"11th May, 2018",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Chennai Super Kings,Rajasthan Royals,Jos Buttler,1
687,Kings XI Punjab,Kolkata Knight Riders,"12th May, 2018",league,"Holkar Cricket Stadium, Indore",Day/Night Match,Kings XI Punjab,Kolkata Knight Riders,Sunil Narine,0
688,Delhi Daredevils,Royal Challengers Bangalore,"12th May, 2018",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,0
689,Chennai Super Kings,Sunrisers Hyderabad,"13th May, 2018",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ambati Rayudu,1
690,Mumbai Indians,Rajasthan Royals,"13th May, 2018",league,"Wankhede Stadium, Mumbai",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Jos Buttler,0
691,Kings XI Punjab,Royal Challengers Bangalore,"14th May, 2018",league,"Holkar Cricket Stadium, Indore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Umesh Yadav,0
692,Kolkata Knight Riders,Rajasthan Royals,"15th May, 2018",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Kuldeep Yadav,1
693,Mumbai Indians,Kings XI Punjab,"16th May, 2018",league,"Wankhede Stadium, Mumbai",Day/Night Match,Kings XI Punjab,Mumbai Indians,Jasprit Bumrah,1
694,Royal Challengers Bangalore,Sunrisers Hyderabad,"17th May, 2018",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Sunrisers Hyderabad,Royal Challengers Bangalore,AB de Villiers,1
695,Delhi Daredevils,Chennai Super Kings,"18th May, 2018",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Chennai Super Kings,Delhi Daredevils,Harshal Patel,1
696,Rajasthan Royals,Royal Challengers Bangalore,"19th May, 2018",league,"Sawai Mansingh Stadium, Jaipur",Day Match,Rajasthan Royals,Rajasthan Royals,Shreyas Gopal,1
697,Sunrisers Hyderabad,Kolkata Knight Riders,"19th May, 2018",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Kolkata Knight Riders,Chris Lynn,0
698,Delhi Daredevils,Mumbai Indians,"20th May, 2018",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Amit Mishra,1
699,Chennai Super Kings,Kings XI Punjab,"20th May, 2018",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Lungi Ngidi,1
700,Chennai Super Kings,Sunrisers Hyderabad,"22nd May, 2018",knockout,"Wankhede Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Faf du Plessis,1
701,Kolkata Knight Riders,Rajasthan Royals,"23rd May, 2018",knockout,"Eden Gardens, Kolkata",Day/Night Match,Rajasthan Royals,Kolkata Knight Riders,Andre Russell,1
702,Kolkata Knight Riders,Sunrisers Hyderabad,"25th May, 2018",knockout,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Sunrisers Hyderabad,Rashid Khan,0
703,Chennai Super Kings,Sunrisers Hyderabad,"27th May, 2018",knockout,"Wankhede Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Shane Watson,1
704,Chennai Super Kings,Royal Challengers Bangalore,"23rd March, 2019",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Harbhajan Singh,1
705,Kolkata Knight Riders,Sunrisers Hyderabad,"24th March, 2019",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Andre Russell,1
706,Mumbai Indians,Delhi Capitals,"24th March, 2019",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Delhi Capitals,Rishabh Pant,0
707,Rajasthan Royals,Kings XI Punjab,"25th March, 2019",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Kings XI Punjab,Chris Gayle,0
708,Delhi Capitals,Chennai Super Kings,"26th March, 2019",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Capitals,Chennai Super Kings,Shane Watson,0
709,Kolkata Knight Riders,Kings XI Punjab,"27th March, 2019",league,"Eden Gardens, Kolkata",Day/Night Match,Kings XI Punjab,Kolkata Knight Riders,Andre Russell,1
710,Royal Challengers Bangalore,Mumbai Indians,"28th March, 2019",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Mumbai Indians,Jasprit Bumrah,0
711,Sunrisers Hyderabad,Rajasthan Royals,"29th March, 2019",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Rajasthan Royals,Sunrisers Hyderabad,Rashid Khan,1
712,Kings XI Punjab,Mumbai Indians,"30th March, 2019",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Mayank Agarwal,1
713,Delhi Capitals,Kolkata Knight Riders,"30th March, 2019",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Capitals,Delhi Capitals,Prithvi Shaw,1
714,Sunrisers Hyderabad,Royal Challengers Bangalore,"31st March, 2019",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Royal Challengers Bangalore,Sunrisers Hyderabad,Jonny Bairstow,1
715,Chennai Super Kings,Rajasthan Royals,"31st March, 2019",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Rajasthan Royals,Chennai Super Kings,M S Dhoni,1
716,Kings XI Punjab,Delhi Capitals,"1st April, 2019",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Delhi Capitals,Kings XI Punjab,Sam Curran,1
717,Rajasthan Royals,Royal Challengers Bangalore,"2nd April, 2019",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Shreyas Gopal,1
718,Mumbai Indians,Chennai Super Kings,"3rd April, 2019",league,"Wankhede Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Mumbai Indians,Hardik Pandya,1
719,Delhi Capitals,Sunrisers Hyderabad,"4th April, 2019",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Jonny Bairstow,0
720,Royal Challengers Bangalore,Kolkata Knight Riders,"5th April, 2019",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Andre Russell,0
721,Chennai Super Kings,Kings XI Punjab,"6th April, 2019",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Harbhajan Singh,1
722,Sunrisers Hyderabad,Mumbai Indians,"6th April, 2019",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Mumbai Indians,Alzarri Joseph,0
723,Royal Challengers Bangalore,Delhi Capitals,"7th April, 2019",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Delhi Capitals,Delhi Capitals,Kagiso Rabada,0
724,Rajasthan Royals,Kolkata Knight Riders,"7th April, 2019",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Harry Gurney,0
725,Kings XI Punjab,Sunrisers Hyderabad,"8th April, 2019",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kings XI Punjab,KL Rahul,1
726,Chennai Super Kings,Kolkata Knight Riders,"9th April, 2019",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Deepak Chahar,1
727,Mumbai Indians,Kings XI Punjab,"10th April, 2019",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Kieron Pollard,1
728,Rajasthan Royals,Chennai Super Kings,"11th April, 2019",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Chennai Super Kings,Chennai Super Kings,M S Dhoni,0
729,Kolkata Knight Riders,Delhi Capitals,"12th April, 2019",league,"Eden Gardens, Kolkata",Day/Night Match,Delhi Capitals,Delhi Capitals,Shikhar Dhawan,0
730,Mumbai Indians,Rajasthan Royals,"13th April, 2019",league,"Wankhede Stadium, Mumbai",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Jos Buttler,0
731,Kings XI Punjab,Royal Challengers Bangalore,"13th April, 2019",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,0
732,Kolkata Knight Riders,Chennai Super Kings,"14th April, 2019",league,"Eden Gardens, Kolkata",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Imran Tahir,0
733,Sunrisers Hyderabad,Delhi Capitals,"14th April, 2019",league,"Rajiv Gandhi International Stadium, Hyderabad",Day Match,Sunrisers Hyderabad,Delhi Capitals,Keemo Paul,0
734,Mumbai Indians,Royal Challengers Bangalore,"15th April, 2019",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Lasith Malinga,1
735,Kings XI Punjab,Rajasthan Royals,"16th April, 2019",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Rajasthan Royals,Kings XI Punjab,Ravichandran Ashwin,1
736,Sunrisers Hyderabad,Chennai Super Kings,"17th April, 2019",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Chennai Super Kings,Sunrisers Hyderabad,David Warner,1
737,Delhi Capitals,Mumbai Indians,"18th April, 2019",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Mumbai Indians,Mumbai Indians,Hardik Pandya,0
738,Kolkata Knight Riders,Royal Challengers Bangalore,"19th April, 2019",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Royal Challengers Bangalore,Virat Kohli,0
739,Rajasthan Royals,Mumbai Indians,"20th April, 2019",league,"Sawai Mansingh Stadium, Jaipur",Day Match,Rajasthan Royals,Rajasthan Royals,Steve Smith,1
740,Delhi Capitals,Kings XI Punjab,"20th April, 2019",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Capitals,Delhi Capitals,Shreyas Iyer,1
741,Sunrisers Hyderabad,Kolkata Knight Riders,"21st April, 2019",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Khaleel Ahmed,1
742,Royal Challengers Bangalore,Chennai Super Kings,"21st April, 2019",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Chennai Super Kings,Royal Challengers Bangalore,Parthiv Patel,1
743,Rajasthan Royals,Delhi Capitals,"22nd April, 2019",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Delhi Capitals,Delhi Capitals,Rishabh Pant,0
744,Chennai Super Kings,Sunrisers Hyderabad,"23rd April, 2019",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Shane Watson,1
745,Royal Challengers Bangalore,Kings XI Punjab,"24th April, 2019",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Kings XI Punjab,Royal Challengers Bangalore,AB de Villiers,1
746,Kolkata Knight Riders,Rajasthan Royals,"25th April, 2019",league,"Eden Gardens, Kolkata",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Varun Aaron,0
747,Chennai Super Kings,Mumbai Indians,"26th April, 2019",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Mumbai Indians,Rohit Sharma,0
748,Rajasthan Royals,Sunrisers Hyderabad,"27th April, 2019",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Jaydev Unadkat,1
749,Delhi Capitals,Royal Challengers Bangalore,"28th April, 2019",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Capitals,Delhi Capitals,Shikhar Dhawan,1
750,Kolkata Knight Riders,Mumbai Indians,"28th April, 2019",league,"Eden Gardens, Kolkata",Day/Night Match,Mumbai Indians,Kolkata Knight Riders,Andre Russell,1
751,Sunrisers Hyderabad,Kings XI Punjab,"29th April, 2019",league,"Rajiv Gandhi International Stadium, Hyderabad",Day Match,Kings XI Punjab,Sunrisers Hyderabad,David Warner,1
752,Royal Challengers Bangalore,Rajasthan Royals,"30th April, 2019",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Rajasthan Royals,No result,No Award,0
753,Chennai Super Kings,Delhi Capitals,"1st May, 2019",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Delhi Capitals,Chennai Super Kings,M S Dhoni,1
754,Mumbai Indians,Sunrisers Hyderabad,"2nd May, 2019",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Jasprit Bumrah,1
755,Kings XI Punjab,Kolkata Knight Riders,"3rd May, 2019",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Shubman Gill,0
756,Delhi Capitals,Rajasthan Royals,"4th May, 2019",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Rajasthan Royals,Delhi Capitals,Amit Mishra,1
757,Royal Challengers Bangalore,Sunrisers Hyderabad,"4th May, 2019",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Shimron Hetmeyer,1
758,Kings XI Punjab,Chennai Super Kings,"5th May, 2019",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kings XI Punjab,KL Rahul,1
759,Mumbai Indians,Kolkata Knight Riders,"5th May, 2019",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Hardik Pandya,1
760,Chennai Super Kings,Mumbai Indians,"7th May, 2019",knockout,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Mumbai Indians,Suryakumar Yadav,0
761,Delhi Capitals,Sunrisers Hyderabad,"8th May, 2019",knockout,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam",Day Match,Delhi Capitals,Delhi Capitals,Rishabh Pant,1
762,Chennai Super Kings,Delhi Capitals,"10th May, 2019",knockout,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Faf du Plessis,1
763,Chennai Super Kings,Mumbai Indians,"12th May, 2019",knockout,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Mumbai Indians,Mumbai Indians,Jasprit Bumrah,0
764,Chennai Super Kings,Mumbai Indians,"19th September, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ambati Rayudu,1
765,Delhi Capitals,Kings XI Punjab,"20th September, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Kings XI Punjab,Delhi Capitals,Marcus Stoinis,1
766,Royal Challengers Bangalore,Sunrisers Hyderabad,"21st September, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Sunrisers Hyderabad,Royal Challengers Bangalore,Yuzvendra Chahal,1
767,Chennai Super Kings,Rajasthan Royals,"22nd September, 2020",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Chennai Super Kings,Rajasthan Royals,Sanju Samson,0
768,Kolkata Knight Riders,Mumbai Indians,"23rd September, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Kolkata Knight Riders,Mumbai Indians,Rohit Sharma,0
769,Kings XI Punjab,Royal Challengers Bangalore,"24th September, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Royal Challengers Bangalore,Kings XI Punjab,KL Rahul,1
770,Chennai Super Kings,Delhi Capitals,"25th September, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Chennai Super Kings,Delhi Capitals,Prithvi Shaw,0
771,Kolkata Knight Riders,Sunrisers Hyderabad,"26th September, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Sunrisers Hyderabad,Kolkata Knight Riders,Shubman Gill,1
772,Kings XI Punjab,Rajasthan Royals,"27th September, 2020",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Sanju Samson,0
773,Mumbai Indians,Royal Challengers Bangalore,"28th September, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Mumbai Indians,Royal Challengers Bangalore,AB de Villiers,0
774,Delhi Capitals,Sunrisers Hyderabad,"29th September, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Delhi Capitals,Sunrisers Hyderabad,Rashid Khan,0
775,Kolkata Knight Riders,Rajasthan Royals,"30th September, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Rajasthan Royals,Kolkata Knight Riders,Shivam Mavi,1
776,Kings XI Punjab,Mumbai Indians,"1st October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Kings XI Punjab,Mumbai Indians,Kieron Pollard,0
777,Chennai Super Kings,Sunrisers Hyderabad,"2nd October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Priyam Garg,0
778,Royal Challengers Bangalore,Rajasthan Royals,"3rd October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Yuzvendra Chahal,1
779,Delhi Capitals,Kolkata Knight Riders,"3rd October, 2020",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Kolkata Knight Riders,Delhi Capitals,Shreyas Iyer,1
780,Mumbai Indians,Sunrisers Hyderabad,"4th October, 2020",league,"Sharjah Cricket Stadium, Sharjah",Day Match,Mumbai Indians,Mumbai Indians,Trent Boult,1
781,Chennai Super Kings,Kings XI Punjab,"4th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Kings XI Punjab,Chennai Super Kings,Shane Watson,1
782,Delhi Capitals,Royal Challengers Bangalore,"5th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Royal Challengers Bangalore,Delhi Capitals,Axar Patel,1
783,Mumbai Indians,Rajasthan Royals,"6th October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Mumbai Indians,Mumbai Indians,Suryakumar Yadav,1
784,Chennai Super Kings,Kolkata Knight Riders,"7th October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Rahul Tripathi,0
785,Kings XI Punjab,Sunrisers Hyderabad,"8th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Jonny Bairstow,0
786,Delhi Capitals,Rajasthan Royals,"9th October, 2020",league,"Sharjah Cricket Stadium, Sharjah",Day Match,Rajasthan Royals,Delhi Capitals,Ravichandran Ashwin,1
787,Kolkata Knight Riders,Kings XI Punjab,"10th October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day Match,Kolkata Knight Riders,Kolkata Knight Riders,Dinesh Karthik,1
788,Chennai Super Kings,Royal Challengers Bangalore,"10th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,0
789,Rajasthan Royals,Sunrisers Hyderabad,"11th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day Match,Sunrisers Hyderabad,Rajasthan Royals,Rahul Tewatia,1
790,Delhi Capitals,Mumbai Indians,"11th October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Delhi Capitals,Mumbai Indians,Quinton de Kock,0
791,Kolkata Knight Riders,Royal Challengers Bangalore,"12th October, 2020",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,0
792,Chennai Super Kings,Sunrisers Hyderabad,"13th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ravindra Jadeja,1
793,Delhi Capitals,Rajasthan Royals,"14th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day Match,Delhi Capitals,Delhi Capitals,Anrich Nortje,1
794,Kings XI Punjab,Royal Challengers Bangalore,"15th October, 2020",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Royal Challengers Bangalore,Kings XI Punjab,KL Rahul,1
795,Kolkata Knight Riders,Mumbai Indians,"16th October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Kolkata Knight Riders,Mumbai Indians,Quinton de Kock,0
796,Royal Challengers Bangalore,Rajasthan Royals,"17th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day Match,Rajasthan Royals,Royal Challengers Bangalore,AB de Villiers,1
797,Chennai Super Kings,Delhi Capitals,"17th October, 2020",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Chennai Super Kings,Delhi Capitals,Shikhar Dhawan,0
798,Kolkata Knight Riders,Sunrisers Hyderabad,"18th October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day Match,Sunrisers Hyderabad,Kolkata Knight Riders,Lockie Ferguson,1
799,Kings XI Punjab,Mumbai Indians,"18th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Mumbai Indians,Kings XI Punjab,KL Rahul,1
800,Chennai Super Kings,Rajasthan Royals,"19th October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Chennai Super Kings,Rajasthan Royals,Jos Buttler,0
801,Delhi Capitals,Kings XI Punjab,"20th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Delhi Capitals,Kings XI Punjab,Shikhar Dhawan,0
802,Kolkata Knight Riders,Royal Challengers Bangalore,"21st October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Kolkata Knight Riders,Royal Challengers Bangalore,Mohammed Siraj,0
803,Rajasthan Royals,Sunrisers Hyderabad,"22nd October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Manish Pandey,0
804,Chennai Super Kings,Mumbai Indians,"23rd October, 2020",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Mumbai Indians,Mumbai Indians,Trent Boult,0
805,Delhi Capitals,Kolkata Knight Riders,"24th October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day Match,Delhi Capitals,Kolkata Knight Riders,Varun Chakravarthy,0
806,Kings XI Punjab,Sunrisers Hyderabad,"24th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Sunrisers Hyderabad,Kings XI Punjab,Chris Jordan,1
807,Chennai Super Kings,Royal Challengers Bangalore,"25th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day Match,Royal Challengers Bangalore,Chennai Super Kings,Ruturaj Gaikwad,1
808,Mumbai Indians,Rajasthan Royals,"25th October, 2020",league,"Sheikh Zayed Stadium, Abu Dhabi",Day/Night Match,Mumbai Indians,Rajasthan Royals,Ben Stokes,0
809,Kolkata Knight Riders,Kings XI Punjab,"26th October, 2020",league,"Sharjah Cricket Stadium, Sharjah",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Chris Gayle,0
810,Delhi Capitals,Sunrisers Hyderabad,"27th October, 2020",league,"Dubai International Cricket Stadium, Dubai",Day/Night Match,Delhi Capitals,Sunrisers Hyderabad,Wriddhiman Saha,0
