,home,away,date,match_type,venue,time_of_match,toss,winner,man_of_match,outcome
440,Chennai Super Kings,Rajasthan Royals,"13th May, 2014",league,"JSCA International Stadium Complex, Ranchi",Day Match,Rajasthan Royals,Chennai Super Kings,Ravindra Jadeja,1
441,Royal Challengers Bangalore,Delhi Daredevils,"13th May, 2014",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Delhi Daredevils,Royal Challengers Bangalore,Yuvraj Singh,1
442,Sunrisers Hyderabad,Kings XI Punjab,"14th May, 2014",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Wriddhiman Saha,0
443,Kolkata Knight Riders,Mumbai Indians,"14th May, 2014",league,"Barabati Stadium, Cuttack",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Robin Uthappa,1
444,Rajasthan Royals,Delhi Daredevils,"15th May, 2014",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Delhi Daredevils,Rajasthan Royals,Ajinkya Rahane,1
445,Chennai Super Kings,Royal Challengers Bangalore,"18th May, 2014",league,"JSCA International Stadium Complex, Ranchi",Day/Night Match,Chennai Super Kings,Royal Challengers Bangalore,AB de Villiers,0
446,Sunrisers Hyderabad,Kolkata Knight Riders,"18th May, 2014",league,"Rajiv Gandhi International Stadium, Hyderabad",Day Match,Sunrisers Hyderabad,Kolkata Knight Riders,Umesh Yadav,0
447,Rajasthan Royals,Mumbai Indians,"19th May, 2014",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Mumbai Indians,Mumbai Indians,Michael Hussey,0
448,Delhi Daredevils,Kings XI Punjab,"19th May, 2014",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Axar Patel,0
449,Sunrisers Hyderabad,Royal Challengers Bangalore,"20th May, 2014",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Royal Challengers Bangalore,Sunrisers Hyderabad,David Warner,1
450,Kolkata Knight Riders,Chennai Super Kings,"20th May, 2014",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Robin Uthappa,1
451,Kings XI Punjab,Mumbai Indians,"21st May, 2014",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Mumbai Indians,Mumbai Indians,Lendl Simmons,0
452,Kolkata Knight Riders,Royal Challengers Bangalore,"22nd May, 2014",league,"Eden Gardens, Kolkata",Day/Night Match,Royal Challengers Bangalore,Kolkata Knight Riders,Robin Uthappa,1
453,Chennai Super Kings,Sunrisers Hyderabad,"22nd May, 2014",league,"JSCA International Stadium Complex, Ranchi",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,David Warner,0
454,Mumbai Indians,Delhi Daredevils,"23rd May, 2014",league,"Wankhede Stadium, Mumbai",Day/Night Match,Delhi Daredevils,Mumbai Indians,Michael Hussey,1
455,Kings XI Punjab,Rajasthan Royals,"23rd May, 2014",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Rajasthan Royals,Kings XI Punjab,Shaun Marsh,1
456,Royal Challengers Bangalore,Chennai Super Kings,"24th May, 2014",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Chennai Super Kings,Chennai Super Kings,M S Dhoni,0
457,Kolkata Knight Riders,Sunrisers Hyderabad,"24th May, 2014",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Yusuf Pathan,1
458,Kings XI Punjab,Delhi Daredevils,"25th May, 2014",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Manan Vohra,1
459,Mumbai Indians,Rajasthan Royals,"25th May, 2014",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Corey Anderson,1
460,Mumbai Indians,Chennai Super Kings,"28th May, 2014",knockout,"Brabourne Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Suresh Raina,0
461,Kolkata Knight Riders,Kings XI Punjab,"28th May, 2014",knockout,"Eden Gardens, Kolkata",Day/Night Match,Kings XI Punjab,Kolkata Knight Riders,Umesh Yadav,1
462,Chennai Super Kings,Kings XI Punjab,"30th May, 2014",knockout,"Wankhede Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Kings XI Punjab,Virender Sehwag,0
463,Kolkata Knight Riders,Kings XI Punjab,"1st June, 2014",knockout,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Manish Pandey,1
464,Kolkata Knight Riders,Mumbai Indians,"8th April, 2015",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Morne Morkel,1
465,Chennai Super Kings,Delhi Daredevils,"9th April, 2015",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Delhi Daredevils,Chennai Super Kings,Ashish Nehra,1
466,Kings XI Punjab,Rajasthan Royals,"10th April, 2015",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Kings XI Punjab,Rajasthan Royals,James Faulkner,0
467,Chennai Super Kings,Sunrisers Hyderabad,"11th April, 2015",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Brendon McCullum,1
468,Kolkata Knight Riders,Royal Challengers Bangalore,"11th April, 2015",league,"Eden Gardens, Kolkata",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Chris Gayle,0
469,Delhi Daredevils,Rajasthan Royals,"12th April, 2015",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Deepak Hooda,0
470,Mumbai Indians,Kings XI Punjab,"12th April, 2015",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Kings XI Punjab,George Bailey,0
471,Royal Challengers Bangalore,Sunrisers Hyderabad,"13th April, 2015",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,David Warner,0
472,Rajasthan Royals,Mumbai Indians,"14th April, 2015",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Mumbai Indians,Rajasthan Royals,Steve Smith,1
473,Kings XI Punjab,Delhi Daredevils,"15th April, 2015",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Kings XI Punjab,Delhi Daredevils,Mayank Agarwal,0
474,Sunrisers Hyderabad,Rajasthan Royals,"16th April, 2015",league,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Ajinkya Rahane,0
475,Mumbai Indians,Chennai Super Kings,"17th April, 2015",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Chennai Super Kings,Ashish Nehra,0
